,state_of_res,median_income
1,Alabama,21100
2,Alaska,32050
3,Arizona,26000
4,Arkansas,22900
5,California,25000
6,Colorado,32000
7,Connecticut,36000
8,Delaware,29400
9,District of Columbia,40000
10,Florida,24000
11,Georgia,24700
12,Hawaii,30050
13,Idaho,22800
14,Illinois,27675
15,Indiana,25000
16,Iowa,27500
17,Kansas,30000
18,Kentucky,22250
19,Louisiana,20600
20,Maine,28000
21,Maryland,36400
22,Massachusetts,35350
23,Michigan,25000
24,Minnesota,32000
25,Mississippi,20000
26,Missouri,25000
27,Montana,30000
28,Nebraska,30000
29,Nevada,25000
30,New Hampshire,33000
31,New Jersey,32700
32,New Mexico,20000
33,New York,27000
34,North Carolina,24700
35,North Dakota,29250
36,Ohio,26000
37,Oklahoma,23500
38,Oregon,25000
39,Pennsylvania,28000
40,Rhode Island,30250
41,South Carolina,25000
42,South Dakota,28050
43,Tennessee,25000
44,Texas,25000
45,Utah,29000
46,Vermont,33040
47,Virginia,30000
48,Washington,30100
49,West Virginia,21000
50,Wisconsin,30910
51,Wyoming,34300
